crop,soil_type,Seedling Stage,Moisture (min. % of moisture in soil for healthy growth of crops,Temperature,Humidity,Rainfall in mm (based on humidity and temperature,Result (will rain or not within 2 hrs)
cabbage,sandy,fruit/bulb formation,44.93,30.31,50.75,0.16,No
Turmeric,loam,flowering,36.79,28.01,56.62,4.61,Yes
peas,alluvial,germination,29.62,26.27,79.25,4.97,Yes
bananas,loam,flowering,36.28,19.82,60.92,3.98,Yes
Maize (corn),red,flowering,47.57,33.95,58.58,4.83,Yes
papaya,alluvial,harvest,24.11,34.71,83.19,4.23,Yes
orange,sandy,flowering,31.74,29.64,56.13,1.62,No
papaya,loam,harvest,28.35,24.06,80.72,19.71,Yes
peas,red,maturation,28.5,15.05,49.96,4.99,Yes
Large Cardamom,alluvial,harvest,21.45,23.0,77.64,9.23,Yes
Maize (corn),red,flowering,30.86,20.08,62.95,3.59,Yes
orange,black,germination,26.72,31.83,73.05,0.87,No
potato,black,fruit/bulb formation,48.85,17.11,50.45,3.82,Yes
radish,sandy,maturation,22.01,15.83,60.65,0.59,No
Turmeric,red,flowering,35.06,20.53,49.34,3.61,Yes
Paddy (rice),chalky,harvest,16.3,18.45,74.83,16.2,Yes
soyabeans,loam,fruit/bulb formation,45.11,18.58,44.07,1.27,No
kiwi,alluvial,harvest,31.95,29.38,52.54,1.57,No
papaya,loam,flowering,44.99,15.7,52.47,0.2,No
Large Cardamom,black,harvest,19.26,19.59,65.24,2.18,Yes
Maize (corn),alluvial,flowering,34.91,30.44,71.61,3.06,Yes
soyabeans,black,harvest,24.44,33.41,47.93,1.61,No
Paddy (rice),loam,fruit/bulb formation,35.98,30.98,69.3,3.3,Yes
kiwi,chalky,germination,23.48,34.76,86.8,1.52,No
Ginger,clay,flowering,40.21,30.5,43.47,0.45,No
Paddy (rice),chalky,maturation,31.45,27.86,86.49,12.88,Yes
Paddy (rice),loam,flowering,40.21,32.9,72.91,3.21,Yes
radish,loam,harvest,19.96,26.98,76.36,11.52,Yes
sweet potato,alluvial,germination,26.93,30.56,51.78,3.94,Yes
papaya,clay,fruit/bulb formation,47.07,21.01,89.62,10.35,Yes
radish,chalky,flowering,32.74,22.8,46.59,1.52,No
soyabeans,clay,germination,27.0,28.36,71.07,17.54,Yes
papaya,clay,maturation,16.79,19.52,76.87,7.43,Yes
bananas,sandy,fruit/bulb formation,42.33,22.66,85.91,9.67,Yes
kiwi,chalky,maturation,28.88,30.33,80.22,2.11,Yes
sweet potato,red,harvest,21.49,20.19,84.57,14.54,Yes
orange,clay,flowering,38.39,31.42,63.23,2.34,Yes
peas,clay,flowering,32.8,31.28,79.41,4.78,Yes
peas,loam,germination,29.92,18.75,58.28,1.64,No
soyabeans,red,harvest,20.34,24.95,85.29,5.19,Yes
beans,clay,maturation,23.2,19.62,71.79,13.79,Yes
Large Cardamom,black,fruit/bulb formation,42.58,29.22,49.7,2.7,Yes
kiwi,sandy,maturation,21.09,25.09,87.1,15.96,Yes
tomato,black,germination,28.37,28.99,78.27,19.47,Yes
Large Cardamom,chalky,maturation,30.9,30.17,60.56,2.27,Yes
soyabeans,alluvial,flowering,41.81,18.44,40.59,2.95,Yes
Turmeric,clay,harvest,23.62,32.16,64.47,2.5,Yes
soyabeans,sandy,germination,34.65,16.71,76.16,4.68,Yes
cabbage,alluvial,fruit/bulb formation,46.06,20.53,67.06,2.76,Yes
potato,black,harvest,31.47,24.01,54.78,1.24,No
kiwi,clay,maturation,30.98,23.88,52.96,4.1,Yes
beans,red,harvest,17.74,34.74,72.35,4.93,Yes
potato,clay,maturation,27.77,28.25,42.94,4.86,Yes
cabbage,sandy,harvest,25.27,33.07,69.74,1.49,No
radish,sandy,maturation,36.11,27.3,84.74,2.59,Yes
orange,chalky,germination,31.47,29.84,50.67,3.35,Yes
Large Cardamom,clay,germination,36.15,21.46,52.05,3.04,Yes
Maize (corn),sandy,fruit/bulb formation,46.34,20.92,56.61,2.77,Yes
bananas,loam,fruit/bulb formation,45.65,29.68,51.36,3.5,Yes
tomato,sandy,flowering,39.28,19.03,44.21,4.07,Yes
Turmeric,black,germination,34.42,18.02,53.52,4.32,Yes
Ginger,chalky,harvest,19.78,29.78,62.87,2.94,Yes
mustard,loam,germination,34.08,16.28,83.38,4.59,Yes
peas,clay,flowering,40.35,17.04,87.51,7.3,Yes
papaya,black,flowering,36.19,16.67,63.99,2.84,Yes
beans,red,germination,31.88,30.03,68.76,4.72,Yes
Turmeric,black,flowering,35.03,18.42,55.44,3.2,Yes
Large Cardamom,sandy,harvest,18.66,27.1,86.87,12.02,Yes
sweet potato,red,flowering,36.84,25.64,67.68,4.46,Yes
kiwi,alluvial,fruit/bulb formation,45.91,22.47,82.01,3.6,Yes
bananas,sandy,fruit/bulb formation,40.5,23.91,44.01,2.08,Yes
cabbage,alluvial,maturation,27.85,16.12,64.04,2.24,Yes
Turmeric,black,maturation,36.91,28.76,78.97,1.56,No
cabbage,red,flowering,34.75,29.85,80.49,3.58,Yes
Paddy (rice),black,germination,30.0,25.68,45.0,0.76,No
Maize (corn),red,fruit/bulb formation,49.82,25.24,83.24,7.14,Yes
sweet potato,alluvial,fruit/bulb formation,47.75,33.44,41.46,2.05,Yes
Ginger,loam,fruit/bulb formation,42.85,28.71,52.85,1.26,No
Ginger,alluvial,harvest,18.3,34.63,43.3,3.27,Yes
papaya,black,germination,31.7,15.52,61.61,3.03,Yes
cabbage,black,germination,29.5,16.63,60.11,4.36,Yes
soyabeans,black,germination,30.3,34.97,85.38,1.47,No
mustard,red,fruit/bulb formation,42.2,20.7,82.31,18.66,Yes
Ginger,clay,maturation,25.8,22.55,77.44,2.12,Yes
tomato,black,flowering,40.65,26.27,68.85,4.29,Yes
Maize (corn),loam,fruit/bulb formation,40.31,25.06,83.31,15.76,Yes
sweet potato,alluvial,fruit/bulb formation,39.08,25.73,88.76,12.14,Yes
potato,chalky,fruit/bulb formation,31.95,19.78,83.1,18.93,Yes
kiwi,sandy,germination,29.52,24.53,46.12,0.13,No
cabbage,sandy,fruit/bulb formation,36.27,28.18,48.47,2.6,Yes
sweet potato,black,harvest,22.33,33.53,46.21,4.04,Yes
bananas,loam,maturation,17.99,16.5,40.64,4.11,Yes
Maize (corn),chalky,germination,32.75,15.66,83.7,3.12,Yes
beans,alluvial,fruit/bulb formation,49.42,28.99,48.04,2.11,Yes
Paddy (rice),red,flowering,32.6,19.37,40.8,2.47,Yes
soyabeans,black,harvest,31.4,18.56,73.32,15.62,Yes
papaya,black,germination,27.84,24.85,86.83,2.81,Yes
Large Cardamom,chalky,germination,25.12,19.61,64.46,4.32,Yes
beans,sandy,flowering,35.23,20.16,43.81,1.46,No
bananas,clay,fruit/bulb formation,46.63,23.6,75.99,17.01,Yes
Paddy (rice),red,flowering,48.93,20.76,58.79,2.29,Yes
Paddy (rice),sandy,harvest,30.35,25.03,85.46,19.23,Yes
Paddy (rice),black,maturation,27.81,18.58,65.94,2.62,Yes
bananas,alluvial,germination,27.83,18.83,84.26,16.59,Yes
sweet potato,sandy,maturation,22.36,19.92,61.08,4.47,Yes
mustard,loam,flowering,33.76,18.07,62.92,4.74,Yes
Ginger,sandy,flowering,33.66,26.6,60.93,1.22,No
orange,black,maturation,30.92,30.68,55.31,0.08,No
mustard,alluvial,harvest,26.16,15.07,49.69,3.29,Yes
bananas,clay,germination,36.83,19.73,57.33,1.77,No
bananas,black,flowering,38.65,18.15,66.25,2.36,Yes
potato,loam,germination,25.47,30.49,82.09,2.04,Yes
bananas,black,flowering,36.82,18.61,47.16,4.1,Yes
tomato,chalky,germination,34.43,22.62,82.95,11.24,Yes
tomato,black,flowering,31.88,34.6,47.03,4.15,Yes
kiwi,alluvial,harvest,18.76,32.86,56.58,2.18,Yes
Maize (corn),loam,maturation,19.62,20.53,78.35,14.43,Yes
Maize (corn),black,maturation,32.61,20.83,58.3,0.8,No
Paddy (rice),alluvial,fruit/bulb formation,33.9,21.99,83.61,17.3,Yes
potato,red,maturation,25.56,28.92,54.02,4.76,Yes
Paddy (rice),alluvial,germination,31.49,23.12,54.11,3.46,Yes
Large Cardamom,red,harvest,19.43,31.46,85.59,3.64,Yes
Large Cardamom,clay,maturation,25.1,24.11,67.41,4.36,Yes
Turmeric,clay,flowering,43.87,33.14,70.84,3.97,Yes
papaya,loam,fruit/bulb formation,44.7,20.83,72.63,9.92,Yes
potato,alluvial,fruit/bulb formation,41.34,17.22,59.0,0.23,No
kiwi,sandy,flowering,37.45,24.49,52.8,2.71,Yes
kiwi,loam,maturation,35.74,17.52,54.69,0.21,No
radish,sandy,fruit/bulb formation,47.42,26.87,64.9,2.75,Yes
Maize (corn),black,germination,24.61,29.84,69.87,3.67,Yes
Ginger,black,harvest,22.93,16.37,40.11,1.72,No
Large Cardamom,sandy,flowering,38.46,30.18,87.06,2.54,Yes
cabbage,chalky,harvest,22.51,30.8,54.96,2.04,Yes
tomato,loam,maturation,16.01,27.32,80.09,8.53,Yes
papaya,loam,fruit/bulb formation,36.15,34.15,76.68,3.0,Yes
beans,clay,fruit/bulb formation,39.17,21.3,81.8,1.39,No
papaya,black,flowering,44.84,34.13,70.1,0.66,No
cabbage,chalky,germination,29.99,33.24,82.96,3.03,Yes
peas,loam,fruit/bulb formation,44.79,16.99,71.14,3.73,Yes
mustard,red,harvest,15.83,22.27,83.41,8.28,Yes
soyabeans,red,harvest,19.77,32.74,47.37,1.6,No
mustard,loam,fruit/bulb formation,44.73,26.46,65.0,0.47,No
papaya,clay,fruit/bulb formation,37.77,23.34,41.73,0.48,No
bananas,black,germination,37.45,34.41,71.11,0.51,No
Large Cardamom,black,harvest,19.26,22.25,63.21,3.01,Yes
tomato,sandy,fruit/bulb formation,44.82,25.25,48.25,4.22,Yes
beans,alluvial,fruit/bulb formation,43.82,26.74,48.1,1.63,No
peas,clay,maturation,30.77,16.17,48.62,1.41,No
Ginger,loam,fruit/bulb formation,46.75,26.64,55.71,0.6,No
sweet potato,sandy,flowering,37.88,32.58,66.33,1.19,No
Paddy (rice),chalky,fruit/bulb formation,40.61,20.45,41.86,1.44,No
Turmeric,alluvial,flowering,38.05,23.5,54.97,2.87,Yes
bananas,sandy,maturation,28.6,24.59,86.7,18.02,Yes
potato,black,maturation,25.34,23.0,45.79,3.65,Yes
radish,chalky,germination,31.82,33.1,56.87,1.06,No
Turmeric,alluvial,flowering,36.81,24.77,51.01,0.97,No
Turmeric,sandy,fruit/bulb formation,45.13,15.83,45.32,2.59,Yes
radish,red,harvest,18.57,27.41,85.51,8.64,Yes
soyabeans,black,germination,22.09,16.83,86.56,7.03,Yes
Ginger,loam,fruit/bulb formation,35.6,25.89,41.88,1.61,No
tomato,loam,harvest,21.6,28.95,85.78,6.53,Yes
peas,alluvial,germination,29.41,17.37,65.46,2.61,Yes
beans,clay,harvest,24.02,30.57,64.04,0.25,No
Maize (corn),loam,maturation,33.16,33.46,88.41,3.29,Yes
kiwi,alluvial,germination,25.75,29.45,47.33,1.4,No
mustard,black,harvest,24.87,16.08,65.09,3.3,Yes
Paddy (rice),clay,fruit/bulb formation,35.7,25.31,81.84,8.76,Yes
Turmeric,black,maturation,33.43,29.06,55.52,3.13,Yes
potato,chalky,harvest,27.43,31.21,89.72,2.16,Yes
sweet potato,loam,harvest,15.9,28.09,45.8,3.28,Yes
cabbage,chalky,maturation,29.35,29.67,55.28,2.83,Yes
tomato,sandy,flowering,35.05,34.15,87.28,0.37,No
mustard,black,maturation,31.54,27.35,64.16,0.71,No
Ginger,chalky,germination,31.91,23.83,89.61,6.11,Yes
beans,alluvial,fruit/bulb formation,46.53,20.95,64.25,0.62,No
kiwi,red,harvest,12.59,32.77,78.77,3.61,Yes
soyabeans,sandy,flowering,36.45,21.64,84.02,3.84,Yes
Turmeric,black,fruit/bulb formation,43.04,28.93,51.16,2.25,Yes
tomato,sandy,fruit/bulb formation,48.74,17.71,47.41,0.77,No
mustard,sandy,fruit/bulb formation,38.22,33.72,50.07,0.95,No
tomato,sandy,maturation,33.44,15.98,70.37,19.04,Yes
cabbage,loam,flowering,35.76,27.83,63.19,2.48,Yes
Turmeric,alluvial,maturation,38.06,22.83,67.18,1.27,No
soyabeans,chalky,fruit/bulb formation,41.35,31.96,55.75,3.22,Yes
kiwi,alluvial,flowering,28.75,22.37,73.52,2.11,Yes
papaya,black,fruit/bulb formation,51.87,34.2,49.75,3.08,Yes
Large Cardamom,loam,germination,25.21,23.8,68.05,3.28,Yes
radish,clay,harvest,12.79,21.56,40.83,2.76,Yes
mustard,loam,harvest,21.04,33.84,57.11,3.08,Yes
bananas,loam,germination,28.85,22.96,41.09,3.81,Yes
radish,alluvial,fruit/bulb formation,43.26,31.05,74.94,3.5,Yes
Turmeric,clay,flowering,38.53,30.41,60.44,2.23,Yes
bananas,chalky,maturation,34.48,18.51,46.65,3.75,Yes
tomato,red,fruit/bulb formation,36.0,26.82,42.65,1.2,No
papaya,clay,fruit/bulb formation,40.69,33.24,51.79,4.08,Yes
cabbage,alluvial,maturation,37.05,25.4,62.71,4.88,Yes
mustard,sandy,harvest,24.1,25.38,85.57,9.43,Yes
orange,chalky,harvest,28.49,16.01,65.14,1.19,No
tomato,alluvial,germination,27.68,25.87,73.49,4.86,Yes
cabbage,chalky,germination,33.13,21.86,80.35,15.53,Yes
beans,clay,flowering,37.86,31.37,85.5,4.97,Yes
orange,red,harvest,20.4,22.62,85.46,4.75,Yes
radish,black,maturation,28.8,19.77,86.04,11.29,Yes
peas,red,fruit/bulb formation,47.74,32.65,65.0,1.97,No
radish,black,fruit/bulb formation,44.07,20.75,64.2,2.96,Yes
peas,black,flowering,40.87,29.34,72.58,5.53,Yes
Paddy (rice),loam,germination,21.13,30.42,60.33,0.82,No
peas,clay,maturation,27.15,23.97,60.41,3.15,Yes
Ginger,red,maturation,32.69,24.77,67.16,4.73,Yes
Turmeric,chalky,maturation,19.45,25.92,75.32,6.24,Yes
bananas,black,germination,28.85,30.7,71.74,2.29,Yes
Turmeric,red,fruit/bulb formation,46.54,17.93,74.34,4.6,Yes
orange,alluvial,fruit/bulb formation,44.3,20.49,55.33,2.87,Yes
Paddy (rice),alluvial,fruit/bulb formation,36.41,27.11,47.81,4.43,Yes
Turmeric,chalky,fruit/bulb formation,47.29,18.36,55.03,0.65,No
potato,clay,harvest,23.39,26.21,45.62,4.26,Yes
cabbage,loam,maturation,24.97,29.93,60.41,3.79,Yes
potato,chalky,fruit/bulb formation,45.11,24.99,59.08,2.38,Yes
bananas,sandy,maturation,24.79,24.92,65.01,3.78,Yes
cabbage,alluvial,fruit/bulb formation,43.82,22.82,51.59,2.07,Yes
tomato,chalky,maturation,16.16,29.96,52.51,0.71,No
Maize (corn),black,flowering,37.45,33.33,57.77,3.37,Yes
potato,sandy,germination,30.53,31.76,56.8,0.9,No
Large Cardamom,chalky,germination,30.34,32.83,83.92,0.55,No
potato,alluvial,fruit/bulb formation,31.52,27.97,61.67,3.92,Yes
radish,clay,germination,29.04,19.2,78.3,18.77,Yes
papaya,red,fruit/bulb formation,35.55,27.07,86.48,13.64,Yes
Large Cardamom,clay,harvest,20.84,26.17,44.63,4.67,Yes
papaya,red,flowering,47.98,15.89,54.28,2.46,Yes
peas,sandy,germination,32.98,20.07,53.4,0.92,No
bananas,red,harvest,30.17,26.39,55.61,1.28,No
Ginger,clay,germination,29.98,24.41,82.72,8.55,Yes
beans,loam,maturation,35.41,24.31,78.62,7.8,Yes
soyabeans,clay,fruit/bulb formation,41.75,25.16,49.02,0.7,No
bananas,alluvial,fruit/bulb formation,40.15,33.13,86.66,0.0,No
mustard,loam,fruit/bulb formation,38.07,27.73,75.44,18.49,Yes
radish,red,germination,29.95,25.07,48.39,3.64,Yes
papaya,loam,fruit/bulb formation,49.53,25.91,69.82,1.12,No
Ginger,alluvial,maturation,16.89,31.95,78.77,0.71,No
radish,clay,germination,26.47,28.22,43.7,1.4,No
radish,black,germination,30.78,28.74,54.66,4.67,Yes
Turmeric,red,maturation,26.39,32.34,88.51,0.67,No
mustard,chalky,harvest,23.54,20.74,55.06,3.92,Yes
Turmeric,sandy,germination,27.02,24.45,66.98,1.65,No
peas,sandy,fruit/bulb formation,50.79,24.81,71.1,15.89,Yes
Large Cardamom,loam,germination,29.96,15.2,65.85,3.71,Yes
Large Cardamom,alluvial,harvest,23.84,23.25,70.95,9.09,Yes
potato,chalky,harvest,17.93,24.75,76.13,17.9,Yes
Maize (corn),loam,flowering,45.29,21.99,56.69,4.02,Yes
Turmeric,clay,harvest,21.29,28.76,71.69,18.63,Yes
papaya,chalky,fruit/bulb formation,36.38,16.3,61.8,4.72,Yes
Turmeric,loam,flowering,35.03,28.49,46.99,4.53,Yes
sweet potato,sandy,fruit/bulb formation,42.91,19.08,75.32,14.27,Yes
mustard,black,harvest,20.18,26.54,84.89,12.2,Yes
cabbage,clay,germination,35.54,34.34,63.76,4.33,Yes
orange,loam,germination,21.46,25.37,74.2,16.57,Yes
kiwi,sandy,germination,28.93,32.61,49.14,4.56,Yes
tomato,loam,maturation,34.19,33.43,88.88,3.19,Yes
mustard,clay,fruit/bulb formation,50.34,19.16,50.67,3.85,Yes
peas,sandy,harvest,25.11,19.43,74.89,8.57,Yes
Maize (corn),black,germination,32.24,34.55,41.45,4.17,Yes
radish,red,fruit/bulb formation,41.02,32.75,85.78,1.11,No
beans,chalky,harvest,24.17,23.03,80.04,4.47,Yes
kiwi,sandy,maturation,35.5,17.58,74.2,11.25,Yes
kiwi,black,maturation,30.06,28.43,51.47,2.53,Yes
papaya,chalky,fruit/bulb formation,46.21,30.11,58.07,0.46,No
radish,black,germination,35.07,25.59,72.04,4.05,Yes
bananas,loam,maturation,28.96,24.88,47.94,0.93,No
bananas,black,harvest,24.11,24.42,86.18,6.29,Yes
bananas,red,maturation,26.18,28.06,84.02,15.79,Yes
Maize (corn),red,harvest,23.25,17.15,42.06,3.44,Yes
Ginger,black,flowering,42.6,34.57,63.45,3.68,Yes
radish,sandy,germination,25.79,22.54,66.29,1.31,No
Large Cardamom,alluvial,germination,37.09,26.22,67.01,0.16,No
radish,sandy,germination,29.03,19.16,79.82,10.82,Yes
soyabeans,alluvial,flowering,38.24,26.52,46.06,1.02,No
potato,clay,harvest,28.05,18.49,78.42,17.59,Yes
mustard,red,maturation,22.06,25.23,40.36,1.7,No
Ginger,chalky,fruit/bulb formation,38.66,32.15,40.42,3.71,Yes
peas,clay,flowering,38.59,17.92,83.72,15.7,Yes
Maize (corn),black,fruit/bulb formation,37.25,23.5,83.29,14.38,Yes
Paddy (rice),red,maturation,23.13,24.53,73.24,11.07,Yes
orange,alluvial,germination,25.59,24.71,51.09,1.11,No
potato,clay,germination,31.18,24.54,77.53,4.37,Yes
sweet potato,loam,harvest,17.97,17.32,89.07,14.14,Yes
cabbage,chalky,maturation,32.8,24.08,53.21,1.66,No
mustard,chalky,harvest,21.34,18.66,49.82,2.63,Yes
Ginger,black,flowering,34.29,15.46,85.91,9.25,Yes
soyabeans,sandy,flowering,32.78,32.86,58.43,2.67,Yes
potato,alluvial,harvest,17.39,33.37,77.13,0.89,No
beans,loam,fruit/bulb formation,38.2,31.37,48.13,3.86,Yes
peas,sandy,fruit/bulb formation,37.28,16.03,62.6,2.08,Yes
sweet potato,loam,germination,27.2,28.08,58.4,2.13,Yes
orange,clay,germination,28.9,18.98,71.92,9.42,Yes
cabbage,black,harvest,27.83,23.79,78.99,19.84,Yes
Ginger,loam,maturation,30.73,32.79,75.52,4.39,Yes
peas,alluvial,harvest,11.06,25.53,62.06,2.7,Yes
mustard,loam,germination,28.72,20.51,53.09,1.03,No
mustard,black,harvest,29.67,30.49,46.19,2.59,Yes
radish,chalky,germination,31.15,31.12,73.94,2.63,Yes
soyabeans,chalky,germination,33.99,30.04,42.21,0.51,No
beans,black,harvest,31.55,22.98,48.89,1.16,No
Maize (corn),red,harvest,19.47,17.28,66.5,3.16,Yes
radish,red,germination,28.24,22.3,72.48,3.12,Yes
Turmeric,sandy,harvest,15.5,17.92,87.86,3.49,Yes
beans,black,fruit/bulb formation,42.43,23.51,52.92,0.47,No
radish,loam,harvest,27.01,30.2,67.7,3.3,Yes
beans,alluvial,flowering,36.58,25.14,58.89,4.83,Yes
tomato,loam,flowering,39.8,22.99,81.53,8.05,Yes
Large Cardamom,sandy,flowering,40.02,22.3,60.71,0.32,No
Maize (corn),black,flowering,33.72,31.46,64.32,4.44,Yes
tomato,sandy,germination,28.24,17.46,79.5,6.77,Yes
radish,loam,germination,30.15,20.61,46.27,0.01,No
Large Cardamom,red,fruit/bulb formation,51.75,15.32,72.13,11.89,Yes
Paddy (rice),loam,flowering,30.54,19.83,44.03,3.53,Yes
mustard,clay,flowering,37.3,31.12,76.25,1.81,No
Ginger,black,germination,32.54,21.46,45.31,1.43,No
sweet potato,chalky,maturation,21.37,32.1,62.92,1.93,No
papaya,loam,fruit/bulb formation,39.25,16.9,60.1,2.78,Yes
beans,clay,germination,25.28,20.5,81.92,3.32,Yes
Maize (corn),loam,harvest,19.89,32.49,57.14,3.52,Yes
mustard,red,harvest,31.09,31.65,86.45,4.3,Yes
kiwi,alluvial,flowering,37.07,33.3,46.09,3.71,Yes
bananas,loam,fruit/bulb formation,39.16,19.58,79.33,12.81,Yes
sweet potato,alluvial,maturation,30.11,24.77,64.07,1.79,No
cabbage,chalky,harvest,29.32,18.58,88.04,11.28,Yes
kiwi,sandy,germination,25.4,30.63,79.56,2.46,Yes
cabbage,sandy,harvest,25.0,34.81,73.25,2.66,Yes
papaya,loam,flowering,44.79,23.6,80.5,19.06,Yes
Large Cardamom,loam,maturation,26.87,27.91,73.1,17.38,Yes
papaya,red,germination,34.17,28.88,66.4,2.15,Yes
kiwi,alluvial,flowering,42.08,20.84,64.87,0.4,No
Ginger,sandy,flowering,32.48,24.52,70.26,5.04,Yes
Large Cardamom,loam,flowering,30.89,21.82,66.81,3.69,Yes
potato,black,flowering,34.88,30.74,60.65,2.38,Yes
kiwi,alluvial,flowering,34.72,15.9,56.77,2.37,Yes
cabbage,black,harvest,23.06,24.49,65.58,4.26,Yes
cabbage,chalky,flowering,38.17,22.16,43.32,4.82,Yes
Maize (corn),clay,flowering,38.49,31.79,58.55,1.3,No
cabbage,loam,fruit/bulb formation,36.86,16.1,87.51,14.58,Yes
radish,chalky,fruit/bulb formation,43.59,34.1,52.03,0.99,No
bananas,chalky,harvest,21.87,19.44,82.95,18.96,Yes
potato,clay,harvest,27.94,33.3,88.54,0.67,No
Turmeric,alluvial,germination,22.19,24.28,63.53,4.51,Yes
mustard,sandy,flowering,29.47,16.18,82.42,13.99,Yes
potato,clay,fruit/bulb formation,46.14,16.42,75.72,2.57,Yes
Maize (corn),sandy,harvest,25.59,17.52,88.97,3.85,Yes
Paddy (rice),clay,germination,30.58,32.85,72.11,4.85,Yes
mustard,clay,germination,22.01,21.98,40.23,0.97,No
Maize (corn),sandy,harvest,19.17,34.66,43.71,0.47,No
Ginger,chalky,fruit/bulb formation,39.8,34.51,88.9,0.44,No
Maize (corn),alluvial,maturation,26.51,26.31,49.2,4.65,Yes
bananas,red,flowering,28.49,29.77,84.75,14.11,Yes
cabbage,chalky,fruit/bulb formation,34.05,30.58,42.16,1.82,No
Ginger,loam,harvest,23.72,20.23,83.28,12.36,Yes
beans,chalky,fruit/bulb formation,47.37,21.31,73.25,8.09,Yes
kiwi,black,fruit/bulb formation,44.54,17.7,40.36,4.96,Yes
radish,clay,maturation,15.67,18.47,88.19,2.1,Yes
potato,red,fruit/bulb formation,38.94,21.73,44.59,1.13,No
orange,red,harvest,21.98,22.83,85.06,17.15,Yes
orange,clay,maturation,21.92,21.23,79.26,9.75,Yes
bananas,chalky,harvest,26.02,30.75,61.48,1.97,No
kiwi,chalky,flowering,28.81,23.27,75.92,11.99,Yes
kiwi,black,harvest,16.66,27.87,56.66,1.27,No
cabbage,clay,flowering,38.57,22.31,53.47,3.85,Yes
kiwi,loam,flowering,35.48,17.57,69.32,0.52,No
mustard,sandy,fruit/bulb formation,45.57,28.79,81.35,4.66,Yes
sweet potato,clay,harvest,18.89,17.11,62.76,2.3,Yes
cabbage,loam,fruit/bulb formation,37.1,20.66,43.26,0.43,No
Ginger,loam,harvest,26.19,20.33,83.37,13.07,Yes
Maize (corn),chalky,maturation,27.5,34.15,56.14,1.48,No
Paddy (rice),loam,fruit/bulb formation,49.71,15.4,80.29,5.43,Yes
potato,sandy,fruit/bulb formation,48.73,35.0,54.1,4.07,Yes
Large Cardamom,clay,harvest,15.02,34.78,67.82,0.18,No
Turmeric,sandy,germination,36.11,24.95,47.21,0.2,No
papaya,clay,germination,23.82,23.04,66.01,2.4,Yes
Turmeric,loam,fruit/bulb formation,35.77,17.84,67.2,2.29,Yes
beans,black,harvest,29.66,23.88,64.96,0.39,No
Ginger,chalky,fruit/bulb formation,51.43,27.74,87.39,14.24,Yes
papaya,black,flowering,34.33,30.62,58.25,4.02,Yes
tomato,black,fruit/bulb formation,45.36,20.91,73.35,11.59,Yes
kiwi,chalky,flowering,44.95,16.7,87.49,18.75,Yes
cabbage,red,flowering,40.34,32.19,66.23,4.86,Yes
soyabeans,alluvial,germination,31.17,23.6,89.69,12.15,Yes
mustard,clay,harvest,16.54,22.48,48.46,2.83,Yes
Paddy (rice),alluvial,fruit/bulb formation,45.2,24.49,82.37,10.71,Yes
potato,black,maturation,22.34,28.93,44.99,2.16,Yes
bananas,clay,harvest,25.89,23.17,44.67,3.69,Yes
papaya,clay,fruit/bulb formation,43.37,27.33,60.85,3.06,Yes
Ginger,sandy,germination,23.12,21.37,65.79,1.17,No
Ginger,black,maturation,23.35,18.97,83.93,14.98,Yes
Ginger,black,flowering,41.84,32.47,66.74,1.5,No
bananas,red,fruit/bulb formation,44.61,33.7,81.37,1.62,No
tomato,red,flowering,39.63,24.35,50.72,2.5,Yes
soyabeans,red,flowering,33.43,20.23,64.0,1.89,No
sweet potato,black,harvest,21.45,29.48,44.91,4.61,Yes
beans,loam,fruit/bulb formation,45.89,28.58,53.91,2.3,Yes
tomato,chalky,harvest,18.78,26.04,51.0,2.15,Yes
Maize (corn),loam,harvest,29.15,29.98,42.63,2.58,Yes
cabbage,alluvial,germination,32.0,24.73,42.08,3.84,Yes
Large Cardamom,loam,flowering,36.36,27.28,48.88,2.6,Yes
papaya,clay,harvest,20.23,30.49,57.3,1.6,No
orange,alluvial,maturation,29.25,18.15,43.39,2.98,Yes
Ginger,red,fruit/bulb formation,44.61,16.56,49.22,2.14,Yes
potato,red,fruit/bulb formation,45.85,27.28,55.24,1.41,No
kiwi,black,harvest,23.32,24.42,63.79,1.32,No
bananas,sandy,harvest,21.26,20.23,61.84,4.33,Yes
peas,black,flowering,40.37,26.37,48.44,2.86,Yes
cabbage,alluvial,germination,27.76,15.28,78.5,14.0,Yes
Maize (corn),alluvial,harvest,18.45,20.24,86.83,10.66,Yes
Ginger,chalky,germination,30.09,28.84,64.55,0.14,No
cabbage,loam,germination,31.5,32.09,40.67,1.48,No
papaya,sandy,germination,23.84,21.57,54.87,3.61,Yes
